uberon_id,mesh_id,uberon_labels,mesh_labels
UBERON_0001629,D002344,carotid body; carotid glomus; glomus caroticum,"bodies, carotid; body, carotid; caroticum, glomus; carotid bodies; carotid body; glomus caroticum"
UBERON_0001631,D013897,ductus thoracicus; thoracic duct; trunk of thoracic duct tree,"chyli, cisterna; chylus, cisterna; cisterna chyli; cisterna chylus; duct, thoracic; ducts, thoracic; thoracic duct; thoracic ducts"
UBERON_0001632,D013699,temporal artery,"arteries, temporal; artery, temporal; temporal arteries; temporal artery"
UBERON_0001633,D001488,ba; basilar artery,"arteries, basilar; artery, basilar; basilar arteries; basilar artery"
UBERON_0001636,D020769,arteria cerebri posterior; posterior cerebral artery,"arteries, posterior cerebral; artery, posterior cerebral; cerebral arteries, posterior; cerebral artery, posterior; posterior cerebral arteries; posterior cerebral artery"
UBERON_0001637,D001158,arterial subtree; arterial system; arterial tree organ part; arterial vessel; arteries; artery,arteries; artery
UBERON_0001638,D014680,vascular element; vein; vena; venae; venous subtree; venous tree organ part; venous vessel,vein; veins
UBERON_0001639,D011169,hepatic portal tree; hepatic portal vein; hpv; liver portal vein; portal vein; portal vein of liver; primary hepatic portal vein; primary hepatic portal veins; vena portae hepatis,"portal vein; portal veins; vein, portal; veins, portal"
UBERON_0001640,D002445,arteria coeliaca; arteria cœliaca; celiac artery; celiac tree; celiac trunk; coeliac artery; coeliac axis; coeliac trunck; coeliac trunk; truncus coeliacus; truncus cœliacus,"arteries, celiac; artery, celiac; celiac arteries; celiac artery"
UBERON_0001641,D054064,groove for right and left transverse sinuses; lateral sinus; sinus transversus; sinus transversus durae matris; transverse sinus; transverse sinus vein,"lateral sinus; lateral sinuse; lateral sinuses; sinus transversus; sinus, lateral; sinuses, lateral; sinuses, transverse; transverse sinuse; transverse sinuses; transversus, sinus"
UBERON_0001642,D054063,sinus sagittalis superior; superior sagittal sinus,"longitudinal sinus, superior; sagittal sinus, superior; sinus sagittalis superior; sinus, superior longitudinal; sinus, superior sagittal; superior longitudinal sinus; superior sagittal sinus"
UBERON_0001643,D009802,3n; cn-iii; cranial nerve iii; nerve iii; nervus oculomotorius; nervus oculomotorius [iii]; occulomotor; oculomotor iii; oculomotor iii nerve; oculomotor nerve; oculomotor nerve [iii]; oculomotor nerve or its root; oculomotor nerve tree; third cranial nerve,"cranial nerve iii; cranial nerve iiis; cranial nerve, third; cranial nerves, third; nerve iii; nerve iiis; nerve, oculomotor; nerve, third cranial; nerves, oculomotor; nerves, third cranial; nervus oculomotorius; oculomotor nerve; oculomotor nerves; oculomotorius, nervus; third cranial nerve; third cranial nerves"
UBERON_0001644,D014321,4n; cn-iv; cranial nerve iv; fourth cranial nerve; nerve iv; nervus trochlearis; nervus trochlearis [iv]; pathetic nerve; superior oblique nerve; trochlear; trochlear iv nerve; trochlear nerve; trochlear nerve [iv]; trochlear nerve or its root; trochlear nerve tree; trochlear nerve/root,"cranial nerve iv; cranial nerve, fourth; cranial nerves, fourth; fourth cranial nerve; fourth cranial nerves; iv, cranial nerve; nerve iv; nerve iv, cranial; nerve ivs; nerve, fourth cranial; nerve, trochlear; nerves, fourth cranial; nerves, trochlear; trochlear nerve; trochlear nerves"
UBERON_0001645,D014276,5n; cn-v; cranial nerve v; fifth cranial nerve; nerve v; nervus trigeminus; nervus trigeminus [v]; trigeminal nerve; trigeminal nerve [v]; trigeminal nerve tree; trigeminal v; trigeminal v nerve; trigeminus,"cranial nerve v; cranial nerve, fifth; fifth cranial nerve; fifth cranial nerves; nerve v; nerve v, cranial; nerve vs; nerve, fifth cranial; nerve, trigeminal; nervus trigeminus; trigeminal nerve; trigeminal nerves; trigeminus, nervus"
UBERON_0001646,D000010,6n; abducens nerve; abducens nerve [vi]; abducens nerve tree; abducens nerve/root; abducens vi nerve; abducent nerve; abducent nerve [vi]; abducents vi nerve; cn-vi; cranial nerve vi; lateral rectus nerve; nerve vi; nervus abducens; nervus abducens [vi]; sixth cranial nerve,"abducen, nervus; abducens nerve; abducens, nervus; abducent nerve; abducent nerves; cranial nerve vi; cranial nerve vis; cranial nerve, sixth; nerve vi; nerve vi, cranial; nerve vis; nerve vis, cranial; nerve, abducens; nerve, abducent; nerve, sixth cranial; nerves, sixth cranial; nervus abducen; nervus abducens; sixth cranial nerve; sixth cranial nerves"
UBERON_0001647,D005154,7n; branchiomeric cranial nerve; cn-vii; cranial nerve vii; face nerve; facial nerve; facial nerve [vii]; facial nerve or its root; facial nerve tree; facial nerve/root; facial vii; facial vii nerve; nerve of face; nerve vii; nervus facialis; nervus facialis [vii]; seventh cranial nerve,"cranial nerve vii; cranial nerve viis; cranial nerve, seventh; facial nerve; facial nerves; mandibular nerve, marginal; mandibular nerves, marginal; marginal mandibular branch; marginal mandibular nerve; marginal mandibular nerves; nerve vii; nerve viis; nerve of wrisberg; nerve, facial; nerve, marginal mandibular; nerve, seventh cranial; nerves, marginal mandibular; nervus faciali; nervus facialis; nervus intermedius; nervus intermedius of wrisberg; seventh cranial nerve; seventh cranial nerves; wrisberg nerve; wrisberg nervus intermedius"
UBERON_0001648,D000159,8n; acoustic nerve; acoustic nerve (crosby); acoustic viii nerve; cn-viii; cochlear-vestibular nerve; cochleovestibular nerve; cranial nerve viii; eighth cranial nerve; nervus octavus; nervus statoacusticus; nervus vestibulocochlearis; nervus vestibulocochlearis [viii]; octaval nerve; stato-acoustic nerve; statoacoustic nerve; vestibulocochlear nerve; vestibulocochlear nerve [viii]; vestibulocochlear nerve tree; vestibulocochlear viii nerve; viii nerve; viiith cranial nerve,"cochleovestibular nerve; cochleovestibular nerves; cranial nerve viii; cranial nerve viiis; cranial nerve, eighth; cranial nerves, eighth; eighth cranial nerve; eighth cranial nerves; nerve viiis, cranial; nerve, cochleovestibular; nerve, eighth cranial; nerve, statoacoustic; nerve, vestibulocochlear; nerves, cochleovestibular; nerves, eighth cranial; nerves, statoacoustic; nerves, vestibulocochlear; statoacoustic nerve; statoacoustic nerves; viiis, cranial nerve; vestibulocochlear nerve; vestibulocochlear nerves"
UBERON_0001649,D005930,9n; cn-ix; cranial nerve ix; glossopharyngeal ix; glossopharyngeal ix nerve; glossopharyngeal nerve; glossopharyngeal nerve [ix]; glossopharyngeal nerve tree; nerve ix; nervus glossopharyngeus; nervus glossopharyngeus [ix]; ninth cranial nerve,"cranial nerve viiii; cranial nerve ix; cranial nerve ixs; cranial nerve, ninth; cranial nerves, ninth; glossopharyngeal nerve; glossopharyngeal nerves; nerve, glossopharyngeal; nerve, ninth cranial; nerves, glossopharyngeal; nerves, ninth cranial; ninth cranial nerve; ninth cranial nerves"
UBERON_0001650,D007002,12n; cn-xii; cranial nerve xii; hypoglossal nerve; hypoglossal nerve [xii]; hypoglossal nerve tree; hypoglossal nerve/ root; hypoglossal xii; hypoglossal xii nerve; nerve xii; nervi hypoglossalis; nervus hypoglossus; nervus hypoglossus [xii]; twelfth cranial nerve,"cranial nerve xii; cranial nerve xiis; cranial nerve, twelfth; cranial nerves, twelfth; hypoglossal nerve; hypoglossal nerves; hypoglossus, nervus; nerve xii; nerve xii, cranial; nerve xiis; nerve xiis, cranial; nerve, hypoglossal; nerve, twelfth cranial; nerves, hypoglossal; nerves, twelfth cranial; nervus hypoglossus; twelfth cranial nerve; twelfth cranial nerves; xii, nerve; xiis, nerve"
UBERON_0001663,D002550,cerebral vein; venae cerebri; venae encephali,"basal vein; basal veins; cerebral vein; cerebral veins; galen vein; pial vein; pial veins; sylvian vein; terminal vein; terminal veins; thalamostriate vein; thalamostriate veins; vein of galen; vein, basal; vein, cerebral; vein, pial; vein, sylvian; vein, terminal; vein, thalamostriate; veins, basal; veins, cerebral; veins, pial; veins, terminal; veins, thalamostriate"
UBERON_0001673,D012169,central retinal vein; retinal vein; vena centralis retinae,"central retinal vein; central retinal veins; retinal vein; retinal vein, central; retinal veins; retinal veins, central; vein, central retinal; vein, retinal; veins, central retinal; veins, retinal"
UBERON_0001675,D012668,5th ganglion; fifth ganglion; fused trigeminal ganglion; ganglion of trigeminal complex; ganglion of trigeminal nerve; ganglion semilunare; ganglion trigeminale; gasser's ganglion; gasserian ganglia; gasserian ganglion; gv; semilunar ganglion; trigeminal ganglia; trigeminal ganglion; trigeminal v ganglion; trigeminus ganglion,"ganglia, trigeminal; ganglion, gasser's; ganglion, gasserian; ganglion, semilunar; ganglion, trigeminal; gasser ganglion; gasser's ganglion; gasserian ganglion; gassers ganglion; semilunar ganglion; semilunar ganglions; trigeminal ganglia; trigeminal ganglias; trigeminal ganglion; trigeminal ganglions"
UBERON_0001676,D009777,occipital bone; occipital complex; occipital squama; os occipitale,"basilar bone; basilar bones; bone, basilar; bone, occipital; bones, basilar; bones, occipital; occipital bone; occipital bones"
UBERON_0001677,D013100,butterfly bone; os sphenoidale; os sphenoidum; sphenoid; sphenoid bone; sphenoid complex; sphenoidal bone,"bone, sphenoid; greater sphenoid wing; greater sphenoid wings; sphenoid bone; sphenoid bones; sphenoid wing, greater"
UBERON_0001678,D013701,os temporale; temporal bone,"bone, temporal; stylomastoid foramen; temporal bone; temporal bones"
UBERON_0001679,D005004,ethmoid; ethmoid bone; ethmoidal bone; os ethmoidale,"bone, ethmoid; bones, ethmoid; cribriform plate; cribriform plates; ethmoid bone; ethmoid bones; horizontal plate of ethmoid bone; plate, cribriform; plates, cribriform"
UBERON_0001681,D009295,nasal bone; nasal bones; nasals; os nasale,"bone, nasal; bones, nasal; nasal bone; nasal bones"
UBERON_0001682,D021362,dermopalatine; os palatinum; palate bone; palatine; palatine bone; palatum,"bone, palatine; hard palate; hard palates; palate, hard; palates, hard; palatine bone"
UBERON_0001683,D015050,cheek bone; jugal; jugal bone; jugale; malar bone; orbital bone; os zygomaticum; os zygomaticus; zygoma; zygomatic; zygomatic bone,"arch, zygomatic; arches, zygomatic; bone, cheek; bone, jugal; bone, malar; bones, cheek; bones, jugal; bones, malar; cheek bone; cheek bones; jugal bone; jugal bones; malar bone; malar bones; zygoma; zygomas; zygomatic arch; zygomatic arches"
UBERON_0001684,D008334,inferior maxillary bone; lower jaw; lower jaw bone; lower mandibula; mammaliam mandible; mandible; mandibula; mandibular series; mandibulla,"groove, mylohyoid; grooves, mylohyoid; mandible; mandibles; mylohyoid groove; mylohyoid grooves; mylohyoid ridge; mylohyoid ridges; ridge, mylohyoid; ridges, mylohyoid"
UBERON_0001685,D006928,hyoid; hyoid bone; hyoideum; lingual bone; os hyoideum,"bone, hyoid; bone, lingual; bones, hyoid; bones, lingual; hyoid bone; hyoid bones; lingual bone; lingual bones"
UBERON_0001686,D004429,auditory bone; auditory ossicle; auditory ossicle bone; ear bone; ear ossicle; ear ossicles; middle ear bone; middle ear ossicle; ossicle; ossicle of ear; ossicle of inner ear; ossicular chain,"auditory ossicle; auditory ossicles; ear ossicle; ear ossicles; ossicle, auditory; ossicle, ear; ossicles, auditory; ossicles, ear"
UBERON_0001687,D013199,columella; columella auris; columellare; interstapediale; mediostapediale; mesostapediale; os columellare; os intermedium; stapellos; stapes; stapes bone; stelidium; stilus columellare; stirrup,stapes
UBERON_0001688,D007188,incus; incus bone; quadrate - incus,incus
UBERON_0001689,D008307,anguloarticular - malleus; malleus; malleus bone,malleus
UBERON_0001690,D004423,auditory apparatus; auris; ear,"apparatus, vestibulocochlear; ear; ears; system, vestibulocochlear; vestibulocochlear apparatus; vestibulocochlear system"
UBERON_0001691,D004431,auricular region; auricular region of head; auris externa; external ear; outer ear,"ear, external; ear, outer; ears, external; ears, outer; external ear; external ears; outer ear; outer ears"
UBERON_0001692,D009777,basi-occipital; basilar part of occipital bone; basioccipital; basioccipital bone; pars basilaris ossis occipitalis,"basilar bone; basilar bones; bone, basilar; bone, occipital; bones, basilar; bones, occipital; occipital bone; occipital bones"
UBERON_0001694,D010579,pars petrosa (os temporale); pars petrosa ossis temporalis; petromastoid part of temporal bone; petrosal; petrosal bone; petrous bone; petrous part of temporal bone; temporal bone petrous part,"bone, petrous; petrous apex; petrous bone; petrous bones; petrous pyramid"
UBERON_0001697,D009915,bony orbit; eye socket; orbit; orbit of skull,"eye socket; eye sockets; orbit; orbits; socket, eye; sockets, eye"
UBERON_0001699,D005154,intermediate nerve; nerve of wrisberg; nervus intermedius; pars intermedii of wrisberg; sensory component of the viith (facial) nerve; sensory root of facial nerve; sensory roots of facial nerves; wrisberg's nerve,"cranial nerve vii; cranial nerve viis; cranial nerve, seventh; facial nerve; facial nerves; mandibular nerve, marginal; mandibular nerves, marginal; marginal mandibular branch; marginal mandibular nerve; marginal mandibular nerves; nerve vii; nerve viis; nerve of wrisberg; nerve, facial; nerve, marginal mandibular; nerve, seventh cranial; nerves, marginal mandibular; nervus faciali; nervus facialis; nervus intermedius; nervus intermedius of wrisberg; seventh cranial nerve; seventh cranial nerves; wrisberg nerve; wrisberg nervus intermedius"
UBERON_0001700,D005830,facial ganglion; facial vii ganglion; ganglion genicularum; ganglion geniculi; ganglion geniculi nervi facialis; genicular ganglion; geniculate; geniculate ganglion; gvii; internal genu,"external petrosal nerve; external petrosal nerves; ganglia, geniculate; ganglion, geniculate; geniculate ganglia; geniculate ganglion; greater petrosal nerve; greater petrosal nerves; greater superficial petrosal nerve; large superficial petrosal nerve; lesser petrosal nerve; lesser petrosal nerves; nerve of the pterygoid canal; nerve, external petrosal; nerve, greater petrosal; nerve, lesser petrosal; nerve, superficial petrosal; nerve, vidian; petrosal nerve, external; petrosal nerve, greater; petrosal nerve, lesser; petrosal nerve, superficial; superficial petrosal nerve; superficial petrosal nerves; vidian nerve"
UBERON_0001702,D005140,blepharis; cilia; cilium; eyelash; eyelid cilia; eyelid cilium; hair of eyelid,eyelashes
UBERON_0001705,D009262,claw; nail; nail/claw; talon,fingernail; fingernails; nail; nails; toenail; toenails
UBERON_0001706,D009300,nasal septum; septal cartilage; septum mobile nasi; septum nasi; septum of the nose,"nasal septum; nasal septums; septum, nasal; septums, nasal"
UBERON_0001707,D009296,cavitas nasalis; cavitas nasi; cavity of nose; cavity of olfactory apparatus; cavum nasi; nasal canal; nasal cavity; nasal conduit space; nasal fossa; nasal pit; olfactory cavity; olfactory chamber; olfactory chamber cavity; olfactory pit,"cavities, nasal; cavity, nasal; nasal cavities; nasal cavity"
UBERON_0001708,D007568,anterior splanchnocranium; jaw; jaw cartilage; jaw skeleton; jaws; mandibular arch; mandibular arch skeleton; oral jaw skeleton; pharyngeal arch 1 skeleton; visceral arch 1,jaw; jaws
UBERON_0001710,D008334,lower jaw region; lower part of mouth; mandibular part of mouth; mandibular series,"groove, mylohyoid; grooves, mylohyoid; mandible; mandibles; mylohyoid groove; mylohyoid grooves; mylohyoid ridge; mylohyoid ridges; ridge, mylohyoid; ridges, mylohyoid"
UBERON_0001711,D005143,blephara; blepharon; eye lid; eyelid; palpebra; palpebrae,eyelid; eyelids
UBERON_0001715,D065838,motor nucleus iii; niii; nucleus nervi oculomotorii; nucleus oculomotorius; nucleus of oculomotor nerve; nucleus of oculomotor nuclear complex; nucleus of third cranial nerve; oculomotor iii nuclear complex; oculomotor iii nucleus; oculomotor motornucleus; oculomotor nuclear complex; oculomotor nucleus; om; third cranial nerve nucleus,"anterior median oculomotor nucleus; caudal central oculomotor nucleus; central oculomotor nucleus; dorsal oculomotor nucleus; intermediate oculomotor nucleus; medial oculomotor nucleus; nervi oculomotorii, nucleus; nervi oculomotorius, nucleus; nuclear complex, oculomotor; nucleus nervi oculomotorii; nucleus nervi oculomotorius; nucleus oculomotorius; nucleus of perlia; nucleus, central oculomotor; nucleus, dorsal oculomotor; nucleus, intermediate oculomotor; nucleus, medial oculomotor; nucleus, oculomotor; nucleus, ventral oculomotor; oculomotor nuclear complex; oculomotor nucleus; oculomotor nucleus, central; oculomotor nucleus, dorsal; oculomotor nucleus, intermediate; oculomotor nucleus, medial; oculomotor nucleus, ventral; oculomotorii, nucleus nervi; oculomotorius, nucleus; oculomotorius, nucleus nervi; perlia nucleus; ventral oculomotor nucleus"
UBERON_0001716,D010159,definitive palate; oral roof; palate; palatum; palatum definitivum; palatum secundarium; roof of mouth; secondary palate,"incisive papilla; incisive papillas; palate; palates; papilla, incisive; papillas, incisive"
UBERON_0001717,D014279,nucleus spinalis nervi trigemini; spinal nucleus of cranial nerve v; spinal nucleus of the trigeminal; spinal nucleus of trigeminal nerve; spinal trigeminal nucleus; trigeminal nerve spinal tract nucleus; trigeminal spinal nucleus; trigeminal spinal sensory nucleus; trigeminal v spinal sensory nucleus,"nucleus, spinal trigeminal; spinal trigeminal nucleus; trigeminal nucleus, spinal"
UBERON_0001718,D013681,me5; mesencephalic nuclei of trigeminal nerves; mesencephalic nucleus; mesencephalic nucleus of the trigeminal; mesencephalic nucleus of the trigeminal nerve; mesencephalic nucleus of trigeminal nerve; mesencephalic trigeminal nucleus; mesencephalic trigeminal v nucleus; midbrain trigeminal nucleus; nucleus mesencephalicus nervi trigeminalis; nucleus mesencephalicus nervi trigemini; nucleus of mesencephalic root of v; nucleus tractus mesencephalici nervi trigemini; nucleus tractus mesencephalicus nervi trigemini; trigeminal mesencephalic nucleus; trigeminal nerve mesencepahlic nucleus; trigeminal v mesencephalic nucleus,"accessory oculomotor nuclei; annular nucleus; annulari, nucleus; annularis, nucleus; cajal interstitial nucleus; darkschewitsch nucleus; darkshevich nucleus; darkshevich's nucleus; darkshevichs nucleus; interstitial nucleus of cajal; mesencephali, tegmentum; mesencephalic tegmentum; mesencephalic tegmentums; mesencephalic trigeminal nucleus; mesencephalus, tegmentum; midbrain tegmentum; midbrain tegmentums; midbrain trigeminal nucleus; nervi trochleari, nucleus; nervi trochlearis, nucleus; nuclei, accessory oculomotor; nucleus annulari; nucleus annularis; nucleus nervi trochleari; nucleus nervi trochlearis; nucleus sagulum; nucleus sagulums; nucleus tractus mesencephalici nervi trigemini; nucleus of darkschewitsch; nucleus, annular; nucleus, darkshevich's; nucleus, mesencephalic trigeminal; nucleus, midbrain trigeminal; nucleus, peripeduncular; nucleus, sagulum; nucleus, trochlear; nucleus, ventral tegmental; oculomotor nuclei, accessory; peripeduncular nucleus; sagulum nucleus; sagulum, nucleus; sagulums, nucleus; tegmental nucleus, ventral; tegmentum mesencephali; tegmentum mesencephalus; tegmentum of midbrain; tegmentum, mesencephalic; tegmentum, midbrain; tegmentums, mesencephalic; tegmentums, midbrain; trigeminal nucleus, mesencephalic; trigeminal nucleus, midbrain; trochlear nucleus; trochleari, nucleus nervi; trochlearis, nucleus nervi; ventral tegmental nucleus"
UBERON_0001719,D008526,amb; ambiguous nucleus; ambiguus nucleus; nucleus ambiguus; nucleus innominatus,"accessory cuneate nucleus; ambiguous nucleus; ambiguus, nucleus; arcuate nucleus 1; arcuate nucleus of the medulla; arcuate nucleus-1; arcuate nucleus-1s; cuneate nucleus, accessory; cuneate nucleus, external; cuneate nucleus, lateral; external cuneate nucleus; lateral cuneate nucleus; medulla oblongata; medulla oblongatas; nucleus ambiguus; nucleus, accessory cuneate; nucleus, ambiguous; nucleus, external cuneate; nucleus, lateral cuneate"
UBERON_0001720,D017626,cochlear nucleus; cochlear nucleus of acoustic nerve; cochlear nucleus of eighth cranial nerve; cochlear viii nucleus; nucleus of cochlear nerve; statoacoustic (viii) nucleus; vestibulocochlear nucleus,"cochlear nuclei; cochlear nucleus; nuclei, cochlear; nucleus, cochlear"
UBERON_0001722,D014726,chief vestibular nucleus; dorsal vestibular nucleus; medial nucleus; medial vestibular nucleus; nucleus of schwalbe; nucleus triangularis; nucleus vestibularis medialis; principal vestibular nucleus; schwalbe's nucleus; triangular nucleus,"medial vestibular nucleus; nuclei, vestibular; nucleus, medial vestibular; nucleus, schwalbe; nucleus, schwalbe's; schwalbe nucleus; schwalbe's nucleus; schwalbes nucleus; vestibular nuclei; vestibular nucleus, medial"
UBERON_0001723,D014059,glossus; tongue,tongue; tongues
UBERON_0001724,D013101,sinus sphenoidalis; sphenoid sinus; sphenoidal sinus,"sinus, sphenoid; sphenoid sinus"
UBERON_0001727,D013650,caliculus gustatorius; taste bud; taste buds; taste-bud; tastebud; tastebuds,"bud, taste; buds, taste; taste bud; taste buds"
UBERON_0001728,D009305,epipharynx; nasal part of pharynx; nasenrachenraum; nasopharynx; pars nasalis pharyngis; rhinopharynx,choanae; nasopharynges; nasopharynx; nasopharynxes; rhinopharynges; rhinopharynx; rhinopharynxes
UBERON_0001729,D009960,mesopharynx; oral part of pharynx; oropharynx; pars oralis pharyngis,oropharynx; oropharynxs
UBERON_0001732,D000234,adenoid; nasopharyngeal tonsil; pharyngeal tonsil; rachenmandel; tonsil of luschka; tonsilla pharyngea; tonsilla pharyngealis,"adenoid; adenoids; pharyngeal tonsil; pharyngeal tonsils; tonsil, pharyngeal; tonsils, pharyngeal"
UBERON_0001733,D010160,muscular palate; palatum molle; soft palate; velum; velum palatinum,"palate, soft; palates, soft; palatinum, velum; soft palate; velum palatinum"
UBERON_0001734,D014609,palatine uvula; uvula; uvula of palate; uvula palatina,uvula
UBERON_0001736,D013363,glandula submandibularis; mandibular gland; mandibular salivary gland; maxillary gland; submandibular gland; submandibular salivary gland; submaxillary gland,"gland, submandibular; gland, submaxillary; glands, submandibular; glands, submaxillary; submandibular gland; submandibular glands; submaxillary gland; submaxillary glands"
UBERON_0001737,D007830,larynx,"anterior commissure, laryngeal; anterior commissure, larynx; anterior commissures, laryngeal; anterior commissures, larynx; commissure, laryngeal anterior; commissure, laryngeal posterior; commissure, larynx anterior; commissure, larynx posterior; commissures, laryngeal anterior; commissures, laryngeal posterior; commissures, larynx anterior; commissures, larynx posterior; laryngeal anterior commissure; laryngeal anterior commissures; laryngeal posterior commissure; laryngeal posterior commissures; larynx; larynx anterior commissure; larynx anterior commissures; larynx posterior commissure; larynx posterior commissures; posterior commissure, laryngeal; posterior commissure, larynx; posterior commissures, laryngeal; posterior commissures, larynx"
UBERON_0001738,D013957,cartilago thyroidea; laryngeal prominence; pomus; pomus adamus; thyroid cartilage,"cartilage, thyroid; cartilages, thyroid; thyroid cartilage; thyroid cartilages"
UBERON_0001739,D007817,cartilage of larynx; cartilagines laryngeales; laryngeal cartilage; larynx cartilage,"cartilage, laryngeal; cartilages, laryngeal; laryngeal cartilage; laryngeal cartilages"
UBERON_0001740,D001193,arytenoid; arytenoid cartilage; arytenoids; cartilagines arytenoidea; cartilago arytaenoidea; cartilago arytenoidea,"arytenoid cartilage; arytenoid cartilages; cartilage, arytenoid; cartilages, arytenoid"
UBERON_0001744,D008221,lymphatic tissue; lymphocytic tissue; lymphoid tissue,"lymphatic tissue; lymphatic tissues; lymphoid tissue; lymphoid tissues; tissue, lymphatic; tissue, lymphoid; tissues, lymphatic; tissues, lymphoid"
UBERON_0001745,D018858,peripheral lymphoid tissue; secondary lymphoid nodule; secondary lymphoid tissue; secondary nodular lymphoid tissue,"center, germinal; centers, germinal; germinal center; germinal centers"
UBERON_0001750,D007765,apparatus lacrimalis; lacrimal apparatus; lacrimal drainage system; lacrymal system; nasolacrimal drainage system; nasolacrimal system,"apparatus, lacrimal; apparatus, nasolacrimal; canthus, lateral; canthus, medial; conjunctival sac; conjunctival sacs; duct, lacrimal; gland, lacrimal; lacrimal apparatus; lacrimal duct; lacrimal ducts; lacrimal gland; lacrimal glands; lacrimal punctum; lacrimal punctums; lateral canthus; medial canthus; nasolacrimal apparatus; punctum, lacrimal; sac, conjunctival"
UBERON_0001751,D003804,dentin; dentine; dentine of tooth; predentin,dentin; dentine; dentines; dentins
UBERON_0001752,D003743,enamel; enamel of tooth; enamel tissue; enameloid; tooth enamel,"cuticle, enamel; cuticles, enamel; dent enamel; dent enamels; dental enamel; dental enamels; enamel dent; enamels dent; enamel; enamel cuticle; enamel cuticles; enamel, dental; enamels; enamels, dental"
UBERON_0001753,D003739,bone of attachment; cement; cement of tooth; cementum; cementum of tooth,"cementum dent; cementoblast; cementoblasts; cementum; cementum, dental; dent cementum; dental cementum"
UBERON_0001754,D003782,dental pulp; dental pulp cell; pulp of tooth; tooth pulp,"dent pulp; dent pulps; dental pulp; dental pulps; pulp dent; pulps dent; pulp, dental; pulps, dental"
UBERON_0001756,D004432,auris media; middle ear,"cavities, tympanic; cavity, tympanic; ear, middle; ears, middle; middle ear; middle ears; tympanic cavities; tympanic cavity; tympanum; tympanums"
UBERON_0001757,D054644,auricle; auricle of ear; auricle of external ear; auricula; auricula (auris externa); pinna; pinna of ear; pinnae,"auricle, ear; auricles, ear; ear auricle; ear auricles; ear pinna; ear pinnas; pinna, ear; pinnas, ear"
UBERON_0001758,D010513,paradentium; periodontal ligament; periodontal membrane; periodontium; tooth supporting structure,"alveolodental ligament; alveolodental ligaments; alveolodental membrane; alveolodental membranes; gomphoses; gomphosis; ligament, alveolodental; ligament, periodontal; membrane, alveolodental; periodontal ligament; periodontal ligaments"
UBERON_0001758,D010519,paradentium; periodontal ligament; periodontal membrane; periodontium; tooth supporting structure,"paradentium; paradentiums; parodontium; parodontiums; periodontium; periodontiums; structure, tooth supporting; structures, tooth supporting; supporting structure, tooth; supporting structures, tooth; tooth supporting structure; tooth supporting structures"
UBERON_0001759,D014630,10n; cn-x; cranial nerve x; nerve x; nervus vagus; nervus vagus [x]; pneuomgastric nerve; tenth cranial nerve; vagal nerve; vagus; vagus nerve; vagus nerve [x]; vagus nerve or its root; vagus nerve tree; vagus x nerve,"cranial nerve x; cranial nerve, tenth; cranial nerves, tenth; nerve x; nerve x, cranial; nerve xs; nerve, pneumogastric; nerve, tenth cranial; nerve, vagus; nerves, pneumogastric; nerves, tenth cranial; nerves, vagus; nervus vagus; pneumogastric nerve; pneumogastric nerves; tenth cranial nerve; tenth cranial nerves; vagus nerve; vagus nerves; vagus, nervus"
UBERON_0001760,D005626,cavity of frontal bone; frontal sinus; sinus frontales,"agger nasi cell; agger nasi cells; cell, agger nasi; frontal recess; frontal recesses; frontal sinus; frontal sinus ostium; frontal sinus ostiums; recess, frontal; sinus ostium, frontal; sinus ostiums, frontal; sinus, frontal"
UBERON_0001762,D014420,concha; ossified nasal turbinal; ossified nasal turbinate; ossified turbinate; turbinal bone; turbinate bone,conchae nasale; conchae nasales; nasal concha; nasal conchas; turbinate; turbinates
UBERON_0001763,D003771,dental papilla; dentinal papilla; dermal papilla; odontogenic condensation; odontogenic papilla; papilla dentis; pharyngeal tooth mesenchyme; tooth mesenchyme,"dent papilla; dent papillae; dental papilla; dental papillae; papilla dent; papillae dent; papilla, dental; papillae, dental"
UBERON_0001764,D008443,antrum of highmore; highmore antrum; maxillary antrum; maxillary sinus; sinus maxilliaris,"antrum of highmore; antrum, maxillary; highmore antrum; maxillary antrum; maxillary antrums; maxillary ostium; maxillary ostiums; maxillary sinus; sinus, maxillary"
UBERON_0001766,D000867,anterior chamber; anterior chamber of eye; anterior chamber of eyeball; camera anterior; camera anterior bulbi; camera anterior bulbi oculi; camera oculi anterior; eye anterior chamber,"anterior chamber; anterior chambers; chamber, anterior; chambers, anterior"
UBERON_0001768,D014602,pars iridica retinae; tunica vasculatis oculi; tunica vasculosa bulbi; tunica vasculosa of eyeball; uvea; uveal tract; vascular layer of eyeball,uvea; uveas
UBERON_0001769,D007498,anterior uvea; irides; iris; irises,iris
UBERON_0001771,D011680,pupil; pupils,pupil; pupils
UBERON_0001772,D019573,anterior corneal epithelium; anterior endothelium of cornea; cornea epithelial tissue; cornea epithelium; corneal epithelium; e. anterius corneae; endothelium anterius corneae; endothelium camerae anterioris bulbi; endothelium corneale; epithelial tissue of cornea; epithelium anterius (cornea); epithelium anterius corneae; epithelium corneæ anterior layer; epithelium of cornea; epithelium posterius corneae; external epithelium of cornea,"anterior corneal epithelium; corneal epithelium; corneal epithelium, anterior; epithelium, anterior corneal; epithelium, corneal"
UBERON_0001773,D012590,sclera; scleral capsule,sclera; scleral spur; scleral spurs; scleras
