cl_id,mesh_id,cl_labels,mesh_labels
"""CL_0000362""","""D000078404""","""cell of epidermis; epidermal cell; epithelial cell of skin""","""cell, epidermal; cell, epidermic; cells, epidermic; epidermal cell; epidermal cells; epidermic cell; epidermic cells"""
"""CL_0000365""","""D015053""","""animal zygote; zygote""","""egg, fertilized; eggs, fertilized; fertilized egg; fertilized eggs; fertilized ovum; ovum, fertilized; zygote; zygotes"""
"""CL_0000371""","""D011523""","""protoplast""","""protoplast; protoplasts"""
"""CL_0000415""","""D004171""","""diploid cell""","""cell, diploid; cells, diploid; diploid; diploid cell; diploid cells; diploidies; diploids; diploidy"""
"""CL_0000437""","""D052681""","""delta basophil; follicle stimulating hormone secreting cell; gonadotrope; gonadotrope cell; gonadotroph; gonadotropic cell; gonadtroph; pituitary delta cell""","""fsh cell; fsh cells; fsh producing cells; fsh secreting cells; fsh-producing cell; fsh-producing cells; fsh-secreting cell; fsh-secreting cells; gonadotroph; gonadotrophs; lh cell; lh cells; lh producing cells; lh secreting cells; lh-producing cell; lh-producing cells; lh-secreting cell; lh-secreting cells"""
"""CL_0000442""","""D020566""","""follicular dendritic cell""","""dendritic cell, follicular; dendritic cells, follicular; dendritic reticulum cells, follicular; follicular dendritic cell; follicular dendritic cells"""
"""CL_0000448""","""D052438""","""white adipocyte; white adipose cell; white fat cell""","""adipocyte, white; adipocytes, white; cell, white fat; cells, white fat; fat cell, white; fat cells, white; white adipocyte; white adipocytes; white fat cell; white fat cells"""
"""CL_0000449""","""D052437""","""brown adipocyte; brown adipose cell; brown fat cell""","""adipocyte, brown; adipocytes, brown; brown adipocyte; brown adipocytes; brown fat cell; brown fat cells; cell, brown fat; cells, brown fat; fat cell, brown; fat cells, brown"""
"""CL_0000451""","""D003713""","""dendritic cell; interdigitating cell; veiled cell""","""cell, dendritic; cell, interdigitating; cell, interdigitating dendritic; cell, interstitial dendritic; cell, plasmacytoid dendritic; cell, veiled; cells, dendritic; cells, interdigitating; cells, interdigitating dendritic; cells, interstitial dendritic; cells, plasmacytoid dendritic; cells, veiled; dendritic cell; dendritic cell, interdigitating; dendritic cell, interstitial; dendritic cell, plasmacytoid; dendritic cells; dendritic cells, interdigitating; dendritic cells, interstitial; dendritic cells, plasmacytoid; interdigitating cell; interdigitating cells; interdigitating dendritic cell; interdigitating dendritic cells; interstitial dendritic cell; interstitial dendritic cells; plasmacytoid dendritic cell; plasmacytoid dendritic cells; veiled cell; veiled cells"""
"""CL_0000453""","""D007801""","""langerhans cell; langerhans' cell; lc""","""cell, dermal dendritic; cell, epidermal dendritic; cell, langerhans; cell, skin dendritic; cells, dermal dendritic; cells, epidermal dendritic; cells, langerhans; cells, skin dendritic; dendritic cell, dermal; dendritic cell, epidermal; dendritic cell, skin; dendritic cells, dermal; dendritic cells, epidermal; dendritic cells, skin; dermal dendritic cell; dermal dendritic cells; epidermal dendritic cell; epidermal dendritic cells; langerhans cell; langerhans cells; skin dendritic cell; skin dendritic cells"""
"""CL_0000476""","""D052684""","""beta-basophil; thyroid stimulating hormone secreting cell; thyrotrope; thyrotroph""","""cell, tsh; pituitary tsh producing cells; pituitary tsh secreting cells; pituitary tsh-producing cell; pituitary tsh-producing cells; pituitary tsh-secreting cell; pituitary tsh-secreting cells; tsh cell; tsh cells; tsh-producing cell, pituitary; tsh-producing cells, pituitary; tsh-secreting cell, pituitary; tsh-secreting cells, pituitary; thyrotroph; thyrotrophs"""
"""CL_0000492""","""D006377""","""cd4-positive helper t cell; cd4-positive helper t lymphocyte; cd4-positive helper t-cell; cd4-positive helper t-lymphocyte; cd4-positive t-helper cell""","""cell, helper t; cells, helper t; helper cell; helper cells; helper inducer t lymphocytes; helper t cell; helper t cells; helper t-cell; helper t-cells; helper t-lymphocyte; helper t-lymphocytes; helper-inducer t-cell; helper-inducer t-cells; helper-inducer t-lymphocyte; helper-inducer t-lymphocytes; inducer cell; inducer cells; inducer t-lymphocyte; inducer t-lymphocytes; lymphocytes j helper; lymphocytes j helper inducer; lymphocytes j inducer; t cell, helper; t cells, helper; t cells, helper inducer; t lymphocytes, helper; t lymphocytes, helper inducer; t lymphocytes, inducer; t-cell, helper; t-cell, helper-inducer; t-cells, helper; t-cells, helper-inducer; t-lymphocyte, helper; t-lymphocyte, helper-inducer; t-lymphocyte, inducer; t-lymphocytes, helper; t-lymphocytes, helper-inducer; t-lymphocytes, inducer"""
"""CL_0000499""","""D017154""","""stromal cell""","""cell, stromal; cells, stromal; stromal cell; stromal cells"""
"""CL_0000501""","""D006107""","""granulosa cell; granulosa cell of ovary""","""cell, granulosa; cells, granulosa; granulosa cell; granulosa cells"""
"""CL_0000503""","""D008184""","""theca cell""","""cell, granulosa-luteal; cell, granulosa-lutein; cell, large luteal; cell, luteal; cell, lutein; cell, small luteal; cell, theca-lutein; cells, granulosa-luteal; cells, granulosa-lutein; cells, large luteal; cells, luteal; cells, lutein; cells, small luteal; cells, theca-lutein; granulosa luteal cells; granulosa lutein cells; granulosa-luteal cell; granulosa-luteal cells; granulosa-lutein cell; granulosa-lutein cells; large luteal cell; large luteal cells; luteal cell; luteal cell, large; luteal cell, small; luteal cells; luteal cells, large; luteal cells, small; lutein cell; lutein cells; small luteal cell; small luteal cells; theca luteal cells; theca lutein cells; theca-luteal cell; theca-luteal cells; theca-lutein cell; theca-lutein cells; cell, theca-luteal; cells, theca-luteal"""
"""CL_0000508""","""D019863""","""g cell; type g enteroendocrine cell""","""cell, gastrin-secreting; cells, gastrin-secreting; g cell; g cells; gastrin cell; gastrin cells; gastrin secreting cells; gastrin-secreting cell; gastrin-secreting cells"""
"""CL_0000510""","""D019879""","""paneth cell""","""cell, paneth; cells, paneth; paneth cell; paneth cells"""
"""CL_0000513""","""D032386""","""cardiac muscle myoblast; cardiac muscle progenitor cell; cardiomyocyte progenitor cell""","""cardiac myoblast; cardiac myoblasts; myoblast, cardiac; myoblasts, cardiac"""
"""CL_0000514""","""D027161""","""myoblast, smooth muscle; satellite cell; smooth muscle myoblast""","""cell, perineuronal satellite; cells, perineuronal satellite; perineuronal satellite cell; perineuronal satellite cells; satellite cell, perineuronal; satellite cells, perineuronal"""
"""CL_0000514""","""D032390""","""myoblast, smooth muscle; satellite cell; smooth muscle myoblast""","""myoblast, smooth muscle; myoblasts, smooth muscle; smooth muscle myoblast; smooth muscle myoblasts"""
"""CL_0000515""","""D032448""","""skeletal muscle myoblast; skeletal myoblast""","""myoblast, skeletal; myoblasts, skeletal; skeletal myoblast; skeletal myoblasts"""
"""CL_0000516""","""D009836""","""perineural satellite cell; perineuronal satellite cell; perineuronal satellite oligodendroglial cell; satellite oligodendrocyte""","""interfascicular oligodendroglia; interfascicular oligodendroglias; oligodendrocyte; oligodendrocyte, perineuronal satellite; oligodendrocytes; oligodendrocytes, perineuronal satellite; oligodendroglia; oligodendroglia, interfascicular; oligodendroglia, perineuronal; oligodendroglia, perivascular; perineuronal oligodendroglia; perineuronal satellite oligodendrocyte; perineuronal satellite oligodendrocytes; perineuronal satellite oligodendroglia cells; perivascular oligodendroglia; satellite cells, perineuronal, oligodendroglia; satellite oligodendrocyte, perineuronal; satellite oligodendrocytes, perineuronal"""
"""CL_0000520""","""D011387""","""prokaryotic cell""","""cell, prokaryotic; cells, prokaryotic; prokaryotic cell; prokaryotic cells"""
"""CL_0000526""","""D009475""","""afferent neuron; input neuron""","""afferent neuron; afferent neurons; neuron, afferent; neurons, afferent"""
"""CL_0000528""","""D026602""","""nitrergic neuron""","""nerve, nitrergic; nerve, nitroxidergic; nerves, nitrergic; nerves, nitroxidergic; neuron, nitrergic; neuron, nitroxidergic; neurons, nitrergic; neurons, nitroxidergic; nitrergic nerve; nitrergic nerves; nitrergic neuron; nitrergic neurons; nitroxidergic nerve; nitroxidergic nerves; nitroxidergic neuron; nitroxidergic neurons"""
"""CL_0000540""","""D009474""","""nerve cell; neuron""","""cell, nerve; cells, nerve; nerve cell; nerve cells; neuron; neurons"""
"""CL_0000542""","""D008214""","""lymphocyte""","""cell, lymphoid; cells, lymphoid; lymphocyte; lymphocytes; lymphoid cell; lymphoid cells"""
"""CL_0000545""","""D018417""","""t-helper 1 cell; helper t cell type 1; t helper cells type 1; t(h)-1 cell; th1 cd4+ t cell; th1 cell; th1 t cell; th1 t lymphocyte; th1 t-cell; th1 t-lymphocyte""","""cell, th-1; cell, th1; cells, th-1; cells, th1; t helper 1 cells; th 1 cells; th cells 001; th-1 cell; th-1 cells; th1 cell; th1 cells; type 1 helper t cells"""
"""CL_0000546""","""D018418""","""t-helper 2 cell; helper t cell type 2; t helper cells type 2; t(h)-2 cell; th2 cell; th2 t cell; th2 t lymphocyte; th2 t-cell; th2 t-lymphocyte""","""cell, t helper2; cell, th-2; cell, th2; cells, t helper2; cells, th-2; cells, th2; t helper 2 cell; t helper 2 cells; t helper2 cell; t helper2 cells; th 2 cell; th 2 cells; th cells 002; th-2 cell; th-2 cells; th2 cell; th2 cells; type 2 helper t cell; type 2 helper t cells; type-2 helper t cell; type-2 helper t cells"""
"""CL_0000547""","""D004900""","""proerythroblast; pronormoblast; rubriblast""","""erythroblast; erythroblasts; erythrocyte, nucleated; erythrocytes, nucleated; normoblast; normoblasts; nucleated erythrocyte; nucleated erythrocytes; proerythroblast; proerythroblasts; pronormoblast; pronormoblasts"""
"""CL_0000553""","""D055016""","""cfu-meg; colony-forming unit-megakaryocyte; meg-cfc; megacaryoblast; megacaryocyte progenitor cell; megakaryoblast; megakaryocyte progenitor cell; megakaryocytic progenitor cell; mkp; promegacaryocyte; promegakaryocyte""","""cell, megakaryocyte progenitor; cells, megakaryocyte progenitor; megakaryoblast; megakaryoblasts; megakaryocyte progenitor; megakaryocyte progenitor cell; megakaryocyte progenitor cells; megakaryocyte progenitors; progenitor cell, megakaryocyte; progenitor cells, megakaryocyte; progenitor, megakaryocyte; progenitors, megakaryocyte; promegakaryocyte; promegakaryocytes"""
"""CL_0000556""","""D008533""","""megacaryocyte; megakaryocyte; megalocaryocyte; megalokaryocyte""","""megakaryocyte; megakaryocytes"""
"""CL_0000558""","""D012156""","""reticulocyte""","""reticulocyte; reticulocytes"""
"""CL_0000559""","""D055017""","""promonocyte""","""cell, monocyte-macrophage precursor; cell, monocyte-macrophage progenitor; cells, monocyte-macrophage precursor; cells, monocyte-macrophage progenitor; monoblast; monoblasts; monocyte macrophage precursor cells; monocyte macrophage progenitor cells; monocyte-macrophage precursor cell; monocyte-macrophage precursor cells; monocyte-macrophage progenitor cell; monocyte-macrophage progenitor cells; precursor cell, monocyte-macrophage; precursor cells, monocyte-macrophage; progenitor cell, monocyte-macrophage; progenitor cells, monocyte-macrophage; promonocyte; promonocytes"""
"""CL_0000561""","""D025042""","""amacrine cell; amacrine neuron""","""amacrine cell; amacrine cells; cell, amacrine; cells, amacrine"""
"""CL_0000568""","""D001078""","""amine precursor uptake and decarboxylation cell; apud cell""","""apud cell; apud cells; amine precursor uptake and decarboxylation cells; cell, apud; cells, apud"""
"""CL_0000573""","""D017949""","""cone; retinal cone cell""","""cone photorecept; cone photorecept cells; cones; cell, cone photoreceptor; cell, retinal cone; cells, cone photoreceptor; cells, retinal cone; cone (retina); cone cell, retinal; cone cells, retinal; cone photoreceptor; cone photoreceptor cell; cone photoreceptor cells; cone photoreceptor, retinal; cone photoreceptors; cone photoreceptors, retinal; cone, retinal; cones (retina); cones, retinal; photorecept cone; photoreceptor cell, cone; photoreceptor cells, cone; photoreceptor, cone; photoreceptor, retinal cone; photoreceptors, cone; photoreceptors, retinal cone; retinal cone photorecept; retinal cone photorecept cells; retinal cone; retinal cone cell; retinal cone cells; retinal cone photoreceptor; retinal cone photoreceptor cells; retinal cone photoreceptors; retinal cones"""
"""CL_0000576""","""D009000""","""monocyte""","""monocyte; monocytes"""
"""CL_0000577""","""D004759""","""argentaffin cell; enterochromaffin cell; kulchitsky cell; type ec enteroendocrine cell""","""5 ht containing enterochromaffin cells; 5-ht-containing enterochromaffin cell; 5-ht-containing enterochromaffin cells; argentaffin cell; argentaffin cells; cell, enterochromaffin; cells, enterochromaffin; enterochromaffin cell; enterochromaffin cell, 5-ht-containing; enterochromaffin cell, serotonin-containing; enterochromaffin cells; enterochromaffin cells, 5-ht-containing; enterochromaffin cells, serotonin-containing; serotonin containing enterochromaffin cells; serotonin-containing enterochromaffin cell; serotonin-containing enterochromaffin cells"""
"""CL_0000581""","""D017737""","""peritoneal macrophage""","""macrophage, peritoneal; macrophages, peritoneal; peritoneal macrophage; peritoneal macrophages"""
"""CL_0000583""","""D016676""","""alveolar macrophage; dust cell; mf.lu""","""alveolar macrophage; alveolar macrophages; macrophage pulm; macrophages pulm; macrophage, alveolar; macrophage, pulmonary; macrophages, alveolar; macrophages, pulmonary; pulm macrophage; pulm macrophages; pulmonary macrophage; pulmonary macrophages"""
"""CL_0000584""","""D020895""","""differentiated enterocyte; enterocyte; mature enterocyte""","""enterocyte; enterocytes"""
"""CL_0000588""","""D010010""","""odontoclast""","""cementoclast; cementoclasts; odontoclast; odontoclasts; osteoclast; osteoclasts"""
"""CL_0000589""","""D006199""","""cochlear inner hair cell; inner hair cell""","""auditory hair cell, inner; auditory hair cells, inner; cell, inner hair; cells, inner hair; cochlear inner hair cell; cochlear inner hair cells; hair cell, auditory, inner; hair cell, inner; hair cells, auditory, inner; hair cells, inner; inner auditory hair cell; inner auditory hair cells; inner hair cell; inner hair cells"""
"""CL_0000590""","""D008184""","""small luteal cell; small lutein cell; theca lutein cell""","""cell, granulosa-luteal; cell, granulosa-lutein; cell, large luteal; cell, luteal; cell, lutein; cell, small luteal; cell, theca-lutein; cells, granulosa-luteal; cells, granulosa-lutein; cells, large luteal; cells, luteal; cells, lutein; cells, small luteal; cells, theca-lutein; granulosa luteal cells; granulosa lutein cells; granulosa-luteal cell; granulosa-luteal cells; granulosa-lutein cell; granulosa-lutein cells; large luteal cell; large luteal cells; luteal cell; luteal cell, large; luteal cell, small; luteal cells; luteal cells, large; luteal cells, small; lutein cell; lutein cells; small luteal cell; small luteal cells; theca luteal cells; theca lutein cells; theca-luteal cell; theca-luteal cells; theca-lutein cell; theca-lutein cells; cell, theca-luteal; cells, theca-luteal"""
"""CL_0000592""","""D008184""","""granulosa lutein cell; granulosoluteocytus; large luteal cell""","""cell, granulosa-luteal; cell, granulosa-lutein; cell, large luteal; cell, luteal; cell, lutein; cell, small luteal; cell, theca-lutein; cells, granulosa-luteal; cells, granulosa-lutein; cells, large luteal; cells, luteal; cells, lutein; cells, small luteal; cells, theca-lutein; granulosa luteal cells; granulosa lutein cells; granulosa-luteal cell; granulosa-luteal cells; granulosa-lutein cell; granulosa-lutein cells; large luteal cell; large luteal cells; luteal cell; luteal cell, large; luteal cell, small; luteal cells; luteal cells, large; luteal cells, small; lutein cell; lutein cells; small luteal cell; small luteal cells; theca luteal cells; theca lutein cells; theca-luteal cell; theca-luteal cells; theca-lutein cell; theca-lutein cells; cell, theca-luteal; cells, theca-luteal"""
"""CL_0000598""","""D017966""","""projection neuron; pyramidal cell; pyramidal neuron""","""cell, pyramidal; cells, pyramidal; neuron, pyramidal; neurons, pyramidal; pyramidal cell; pyramidal cells; pyramidal neuron; pyramidal neurons"""
"""CL_0000601""","""D018072""","""cochlear outer hair cell""","""auditory hair cell, outer; auditory hair cells, outer; cochlear outer hair cell; cochlear outer hair cells; hair cell, auditory, outer; hair cells, auditory, outer; hair cells, auditory, outer inner; hair cells, outer; outer auditory hair cell; outer auditory hair cells; outer hair cells"""
"""CL_0000604""","""D017948""","""retinal rod cell""","""cell, retinal rod; cell, rod photoreceptor; cells, retinal rod; cells, rod photoreceptor; photorecept rod; photoreceptor cell, rod; photoreceptor cells, rod; photoreceptor, retinal rod; photoreceptor, rod; photoreceptors, retinal rod; photoreceptors, rod; retinal rod photorecept; retinal rod photorecept cells; rod photorecept; rod photorecept cells; rods; retinal rod; retinal rod cell; retinal rod cells; retinal rod photoreceptor; retinal rod photoreceptor cells; retinal rod photoreceptors; retinal rods; rod (retina); rod cell, retinal; rod cells, retinal; rod photoreceptor; rod photoreceptor cell; rod photoreceptor cells; rod photoreceptor, retinal; rod photoreceptors; rod photoreceptors, retinal; rod, retinal; rods (retina); rods, retinal"""
"""CL_0000609""","""D018069""","""vestibular hair cell; vestibular receptor cell""","""hair cell, vestibular; hair cells, vestibular; vestibular hair cell; vestibular hair cells"""
"""CL_0000617""","""D059330""","""gabaergic neuron; gaba-ergic neuron""","""cell, gaba; cells, gaba; gaba cell; gaba cells; gaba neuron; gaba neurons; gabaergic neuron; gabaergic neurons; neuron, gaba; neuron, gabaergic; neurons, gaba; neurons, gabaergic"""
"""CL_0000622""","""D061354""","""acinar cell; acinic cell; acinous cell""","""acinar cell; acinar cells; acini cell; acini cells; acinic cell; acinic cells; acinous cell; acinous cells; acinus cell; acinus cells; cell, acinar; cell, acini; cell, acinic; cell, acinous; cell, acinus; cells, acinar; cells, acini; cells, acinic; cells, acinous; cells, acinus"""
"""CL_0000623""","""D007694""","""large granular lymphocyte; natural killer cell; nk cell; null cell""","""cell, nk; cell, natural killer; cells, nk; cells, natural killer; killer cell, natural; killer cells, natural; nk cell; nk cells; natural killer cell; natural killer cells"""
"""CL_0000623""","""D008215""","""large granular lymphocyte; natural killer cell; nk cell; null cell""","""cell, null; cells, null; lymphocyte, null; lymphocytes, null; null cell; null cells; null lymphocyte; null lymphocytes"""
"""CL_0000632""","""D055166""","""fat-storing cell; hepatic perisinusoidal cell; hepatic stellate cell; ito cell; lipocyte; perisinusoidal cell; vitamin a-storing cells""","""cell, hepatic stellate; cells, hepatic stellate; cells, ito; hepatic stellate cell; hepatic stellate cells; ito cells; stellate cell, hepatic; stellate cells, hepatic"""
"""CL_0000634""","""D007760""","""claudius cell; cell of claudius; external supporting cell of claudius; external supporting cell of vestibular epithelium""","""cell, labyrinth supporting; cells, labyrinth supporting; labyrinth supporting cell; labyrinth supporting cells; supporting cell, labyrinth; supporting cells, labyrinth"""
"""CL_0000644""","""D009457""","""bergmann glial cell; bergmann astrocyte; bergmann glial cell of cerebellum""","""bergmann glia; bergmann glia cell; bergmann glia cells; bergmann glial cell; bergmann glial cells; cell, bergmann glia; cell, bergmann glial; cell, glia; cell, glial; cell, neuroglial; cell, satellite glia; cell, satellite glial; glia; glia cell; glia cell, bergmann; glia cell, satellite; glia cells; glia, bergmann; glia, satellite; glial cell; glial cell, bergmann; glial cell, satellite; glial cells; glias; neuroglia; neuroglial cell; neuroglial cells; neuroglias; satellite glia; satellite glia cell; satellite glia cells; satellite glial cell; satellite glial cells; satellite glias"""
"""CL_0000647""","""D015726""","""foreign body giant cell; langerhans giant cell; macrophage polykaryon; multinucleate giant cell; multinucleated giant cell; syncytial giant cell""","""cell, giant; cell, multinucleated giant; cells, giant; cells, multinucleated giant; giant cell; giant cell, multinucleated; giant cells; giant cells, multinucleated; multinucleated giant cell; multinucleated giant cells; polykaryocyte; polykaryocytes; syncytia; syncytium"""
"""CL_0000650""","""D050527""","""kidney mesangial cell; mesangial cell""","""cell, extraglomerular mesangial; cell, glomerular mesangial; cell, kidney mesangial; cell, lacis; cell, mesangial; cell, renal mesangial; cells, extraglomerular mesangial; cells, glomerular mesangial; cells, kidney mesangial; cells, lacis; cells, mesangial; cells, renal mesangial; extraglomerular mesangial cell; extraglomerular mesangial cells; glomerular mesangial cell; glomerular mesangial cells; kidney mesangial cell; kidney mesangial cells; lacis cell; lacis cells; mesangial cell; mesangial cell, extraglomerular; mesangial cell, glomerular; mesangial cell, kidney; mesangial cell, renal; mesangial cells; mesangial cells, extraglomerular; mesangial cells, glomerular; mesangial cells, kidney; mesangial cells, renal; renal glomerulus mesangial cells; renal mesangial cell; renal mesangial cells"""
"""CL_0000654""","""D009867""","""primary oocyte; primary oogonium""","""oogonia"""
"""CL_0000669""","""D020286""","""adventitial cell; adventitial reticular cell; arc; cell of rouget; pericyte; pericyte cell; pericyte of rouget""","""cells, rouget; pericyte; pericytes; rouget cells"""
"""CL_0000682""","""D000092303""","""m cell of gut; m cell; m-cell; microfold cell""","""airway m cell; airway m cells; balt m cell; balt m cells; bronchiolar m cell; bronchiolar m cells; bronchus associated lymphoid tissue m cells; bronchus-associated lymphoid tissue m cells; cell, airway m; cell, balt m; cell, bronchiolar m; cell, colonic m; cell, galt m; cell, intestinal m; cell, m; cell, malt m; cell, microfold; cell, nalt m; cell, tonsillar m; cells, airway m; cells, balt m; cells, bronchiolar m; cells, colonic m; cells, galt m; cells, intestinal m; cells, m; cells, malt m; cells, microfold; cells, nalt m; cells, tonsillar m; colonic m cell; colonic m cells; galt m cell; galt m cells; gut associated lymphoid tissue m cells; gut-associated lymphoid tissue m cells; intestinal epithelial m cells; intestinal m cell; intestinal m cells; intestinal villous m cells; m cell; m cell, airway; m cell, balt; m cell, bronchiolar; m cell, colonic; m cell, galt; m cell, intestinal; m cell, malt; m cell, nalt; m cell, tonsillar; m cells; m cells, airway; m cells, balt; m cells, bronchiolar; m cells, colonic; m cells, galt; m cells, intestinal; m cells, malt; m cells, nalt; m cells, tonsillar; malt m cell; malt m cells; microfold cell; microfold cells; mucosa associated lymphoid tissue m cells; mucosa-associated lymphoid tissue m cells; nalt m cell; nalt m cells; nasopharynx associated lymphoid tissue m cells; nasopharynx-associated lymphoid tissue m cells; peyer's patch m cells; tonsillar m cell; tonsillar m cells"""
"""CL_0000683""","""D063928""","""ependymal astrocyte; ependymoglial cell""","""cell, ependymoglial; cell, muller; cell, radial glial; cell, retinal muller; cells, ependymoglial; cells, muller; cells, muller glia; cells, muller glial; cells, radial glial; cells, retinal muller; ependymoglial cell; ependymoglial cells; glia cells, muller; glia, radial; glial cell, radial; glial cells, muller; glial cells, radial; glias, radial; muller cell; muller cell, retinal; muller cells; muller cells, retinal; muller glia cells; muller glial cells; radial glia; radial glial cell; radial glial cells; radial glias; retinal muller cell; retinal muller cells; retinal muller glial cells; tanycyte; tanycytes"""
"""CL_0000700""","""D059290""","""dopaminergic cell; dopaminergic neuron""","""dopamine neuron; dopamine neurons; dopaminergic neuron; dopaminergic neurons; neuron, dopamine; neuron, dopaminergic; neurons, dopamine; neurons, dopaminergic"""
"""CL_0000711""","""D054885""","""cumulus cell""","""cell, cumulus; cell, cumulus granulosa; cells, cumulus; cells, cumulus granulosa; cumulus cell; cumulus cells; cumulus granulosa cell; cumulus granulosa cells; granulosa cell, cumulus; granulosa cells, cumulus"""
"""CL_0000723""","""D013234""","""somatic stem cell""","""cell, mother; cell, progenitor; cell, stem; cells, mother; cells, progenitor; cells, stem; colony forming unit; colony forming units; colony-forming unit; colony-forming units; mother cell; mother cells; progenitor cell; progenitor cells; stem cell; stem cells"""
"""CL_0000723""","""D053687""","""somatic stem cell""","""adult somatic stem cells; adult stem cell; adult stem cells; somatic adult stem cells; somatic stem cell; somatic stem cells; stem cell, somatic; stem cells, adult; stem cells, somatic"""
"""CL_0000738""","""D007962""","""immune cell; leucocyte; leukocyte; white blood cell""","""blood cell, white; blood cells, white; blood corpuscle, white; blood corpuscles, white; corpuscle, white blood; corpuscles, white blood; leukocyte; leukocytes; white blood cell; white blood cells; white blood corpuscle; white blood corpuscles"""
"""CL_0000740""","""D012165""","""gangliocyte; ganglion cell of retina; retinal ganglion cell; rgc""","""cell, retinal ganglion; cells, retinal ganglion; ganglion cell, retinal; ganglion cells, retinal; retinal ganglion cell; retinal ganglion cells"""
"""CL_0000746""","""D032383""","""cardiac muscle cell; cardiac muscle fiber; cardiac myocyte; cardiocyte; cardiomyocyte; heart muscle cell""","""cardiac muscle cell; cardiac muscle cells; cardiac myocyte; cardiac myocytes; cardiomyocyte; cardiomyocytes; cell, cardiac muscle; cell, heart muscle; cells, cardiac muscle; cells, heart muscle; heart muscle cell; heart muscle cells; muscle cell, cardiac; muscle cell, heart; muscle cells, cardiac; muscle cells, heart; myocyte, cardiac; myocytes, cardiac"""
"""CL_0000763""","""D022423""","""myeloid cell""","""cell, myeloid; cells, myeloid; myeloid cell; myeloid cells"""
"""CL_0000764""","""D004912""","""erythroid lineage cell; erythropoietic cell""","""blood cell, red; blood cells, red; blood corpuscle, red; blood corpuscles, red; erythrocyte; erythrocytes; red blood cell; red blood cells; red blood corpuscle; red blood corpuscles"""
"""CL_0000764""","""D041905""","""erythroid lineage cell; erythropoietic cell""","""cell, erythroid; erythroid cell; erythroid cells; erythron"""
"""CL_0000765""","""D004900""","""erythroblast; normoblast""","""erythroblast; erythroblasts; erythrocyte, nucleated; erythrocytes, nucleated; normoblast; normoblasts; nucleated erythrocyte; nucleated erythrocytes; proerythroblast; proerythroblasts; pronormoblast; pronormoblasts"""
"""CL_0000767""","""D001491""","""basophil; basophilic leucocyte; basophilic leukocyte; polymorphonuclear leucocyte; polymorphonuclear leukocyte""","""basophil; basophils"""
"""CL_0000771""","""D004804""","""eosinocyte; eosinophil; eosinophilic granulocyte; eosinophilic leucocyte; eosinophilic leukocyte; polymorphonuclear leucocyte; polymorphonuclear leukocyte""","""eosinophil; eosinophils"""
"""CL_0000775""","""D009504""","""neutrocyte; neutrophil; neutrophil leucocyte; neutrophil leukocyte; neutrophilic leucocyte; neutrophilic leukocyte; pmn; poly; polymorphonuclear leucocyte; polymorphonuclear leukocyte; polymorphonuclear neutrophil; polynuclear neutrophilic leucocyte; polynuclear neutrophilic leukocyte""","""band cell, neutrophil; cell, le; le cell; le cells; leukocyte, polymorphonuclear; leukocytes, polymorphonuclear; neutrophil; neutrophil band cell; neutrophil band cells; neutrophil, polymorphonuclear; neutrophils; polymorphonuclear leukocyte; polymorphonuclear leukocytes; polymorphonuclear neutrophil; polymorphonuclear neutrophils"""
"""CL_0000786""","""D010950""","""effector b cell; effector b-cell; plasma b cell; plasma b-cell; plasma cell; plasmacyte; plasmocyte""","""cell, plasma; cells, plasma; plasma cell; plasma cells; plasmacyte; plasmacytes"""
"""CL_0000794""","""D013602""","""cd8-positive, alpha-beta cytotoxic t cell; cd8-positive, alpha-beta cytotoxic t lymphocyte; cd8-positive, alpha-beta cytotoxic t-cell; cd8-positive, alpha-beta cytotoxic t-lymphocyte; cytotoxic t cell; cytotoxic t lymphocyte; cytotoxic t-cell; cytotoxic t-lymphocyte; killer t cell; killer t lymphocyte; killer t-cell; killer t-lymphocyte""","""cytotox t lymphocytes; cytotoxic lymphocytes j; cell mediated lympholytic cells; cell, cell-mediated lympholytic; cell, tc1; cell, tc2; cell-mediated lympholytic cell; cell-mediated lympholytic cells; cytotoxic t cell; cytotoxic t cells; cytotoxic t lymphocyte; cytotoxic t lymphocytes; cytotoxic t-lymphocyte; cytotoxic t-lymphocytes; lymphocytes j cytotoxic; lymphocyte, cytotoxic t; lympholytic cell, cell-mediated; lympholytic cells, cell-mediated; t cell, cytotoxic; t lymphocytes cytotox; t lymphocyte, cytotoxic; t lymphocytes, cytotoxic; t-lymphocyte, cytotoxic; t-lymphocytes, cytotoxic; tc a 001 cells; tc a 002 cells; tc1 cell; tc1 cells; tc2 cell; tc2 cells"""
